time,x,y,z
1.586,0.06,0.11,-0.24
1.586,0.21,0.06,-0.05
1.587,0.14,0.02,0.07
1.588,0.07,-0.03,0.20
1.664,-0.08,-0.00,0.21
1.665,-0.15,0.04,0.06
1.666,-0.12,0.13,-0.14
1.667,-0.08,0.19,-0.32
1.668,-0.01,0.10,-0.38
1.669,0.06,0.00,-0.41
1.670,0.06,0.04,-0.39
1.670,0.04,0.11,-0.37
1.671,0.05,0.12,-0.33
1.672,0.06,0.12,-0.24
1.673,0.11,0.15,-0.16
1.674,0.16,0.14,-0.12
1.675,0.25,0.13,-0.09
1.676,0.26,0.14,-0.13
1.677,0.29,0.12,-0.15
1.678,0.34,0.12,-0.21
1.678,0.34,0.16,-0.30
1.679,0.37,0.17,-0.33
1.680,0.42,0.15,-0.35
1.765,0.50,0.16,-0.37
1.766,0.61,0.17,-0.39
1.767,0.72,0.19,-0.43
1.769,0.84,0.21,-0.43
1.770,0.93,0.25,-0.50
1.771,0.99,0.28,-0.62
1.771,1.05,0.30,-0.75
1.772,1.13,0.27,-0.94
1.773,1.18,0.22,-1.13
1.774,1.21,0.20,-1.20
1.775,1.26,0.18,-1.20
1.776,1.32,0.17,-1.13
1.777,1.37,0.17,-1.04
1.779,1.39,0.17,-0.95
1.780,1.39,0.14,-0.88
1.781,1.40,0.11,-0.80
1.782,1.41,0.09,-0.74
1.783,1.43,0.08,-0.82
1.785,1.43,0.09,-0.86
1.786,1.43,0.10,-0.95
1.787,1.43,0.08,-1.04
1.866,1.43,0.06,-1.12
1.867,1.45,0.05,-1.14
1.868,1.43,0.05,-1.16
1.868,1.41,0.04,-1.13
1.869,1.39,0.05,-1.10
1.870,1.35,0.07,-1.05
1.871,1.33,0.08,-1.03
1.872,1.31,0.08,-1.05
1.873,1.27,0.09,-1.04
1.874,1.24,0.13,-1.07
1.874,1.20,0.16,-1.08
1.875,1.16,0.19,-1.07
1.876,1.12,0.23,-1.08
1.878,1.09,0.27,-1.08
1.878,1.06,0.30,-1.04
1.879,1.04,0.34,-1.02
1.880,1.00,0.34,-0.98
1.880,0.99,0.36,-0.94
1.881,0.96,0.38,-0.89
1.882,0.93,0.40,-0.85
1.966,0.89,0.41,-0.78
1.968,0.83,0.40,-0.72
1.969,0.80,0.40,-0.67
1.970,0.81,0.43,-0.59
1.972,0.78,0.42,-0.55
1.973,0.72,0.40,-0.54
1.974,0.64,0.38,-0.49
1.975,0.57,0.37,-0.41
1.976,0.53,0.35,-0.34
1.976,0.49,0.35,-0.24
1.979,0.44,0.35,-0.17
1.980,0.41,0.36,-0.12
1.981,0.40,0.33,-0.10
1.982,0.40,0.28,-0.10
1.982,0.40,0.28,-0.07
1.983,0.50,0.19,-0.05
1.984,0.61,0.09,-0.02
1.985,0.42,0.18,-0.04
1.986,0.21,0.27,-0.02
1.987,0.00,0.22,0.02
1.988,-0.14,0.36,0.11
1.991,-0.15,0.48,0.21
1.996,-0.04,0.50,0.23
2.000,0.06,0.48,0.24
2.095,0.11,0.40,0.30
2.096,0.09,0.33,0.32
2.097,0.03,0.27,0.38
2.098,0.03,0.21,0.44
2.099,0.07,0.17,0.51
2.100,0.11,0.16,0.56
2.100,0.10,0.15,0.59
2.101,0.09,0.15,0.65
2.102,0.03,0.14,0.67
2.102,-0.02,0.12,0.70
2.103,-0.07,0.10,0.70
2.105,-0.10,0.09,0.71
2.106,-0.12,0.10,0.70
2.107,-0.15,0.13,0.69
2.108,-0.15,0.17,0.69
2.109,-0.12,0.15,0.67
2.110,-0.07,0.14,0.65
2.111,-0.01,0.17,0.64
2.112,0.05,0.18,0.62
2.114,0.09,0.21,0.64
2.115,0.10,0.23,0.65
2.115,0.10,0.25,0.71
2.116,0.12,0.26,0.77
2.205,0.12,0.24,0.89
2.206,0.10,0.20,0.99
2.207,0.06,0.15,1.54
2.208,0.04,0.10,2.00
2.209,0.07,-0.02,2.00
2.210,0.09,-0.13,1.65
2.210,0.05,-0.13,1.37
2.211,-0.01,-0.10,1.35
2.212,-0.03,-0.07,1.39
2.215,-0.00,-0.04,1.45
2.216,0.02,-0.00,1.48
2.216,0.06,0.05,1.49
2.225,0.12,0.09,1.54
2.225,0.18,0.14,1.55
2.226,0.30,0.20,1.54
2.227,0.38,0.31,1.61
2.227,0.41,0.39,1.75
2.228,0.35,0.48,1.75
2.229,0.34,0.50,1.58
2.229,0.33,0.49,1.37
2.230,0.29,0.46,1.20
2.231,0.21,0.42,1.13
2.231,0.14,0.42,1.11
2.310,0.09,0.40,1.12
2.312,0.08,0.37,1.17
2.312,0.10,0.34,1.20
2.313,0.10,0.34,1.22
2.314,0.10,0.33,1.23
2.315,0.09,0.37,1.20
2.315,0.09,0.42,1.20
2.316,0.06,0.46,1.20
2.317,0.03,0.50,1.19
2.317,0.01,0.54,1.16
2.318,0.04,0.57,1.14
2.318,0.07,0.57,1.10
2.319,0.10,0.56,1.10
2.320,0.12,0.53,1.14
2.320,0.13,0.47,1.20
2.321,0.13,0.44,1.26
2.322,0.11,0.44,1.31
2.322,0.09,0.44,1.32
2.323,0.08,0.44,1.32
2.327,0.05,0.42,1.28
2.420,0.03,0.43,1.27
2.421,0.00,0.43,1.24
2.422,-0.00,0.43,1.15
2.423,-0.00,0.41,1.06
2.424,0.03,0.40,1.03
2.425,0.04,0.37,1.00
2.426,0.06,0.34,0.99
2.427,0.08,0.33,1.00
2.427,0.12,0.31,0.99
2.430,0.13,0.29,0.97
2.431,0.18,0.19,0.99
2.432,0.19,0.19,1.00
2.433,0.20,0.20,1.02
2.434,0.18,0.23,1.06
2.435,0.15,0.27,1.05
2.436,0.12,0.30,1.07
2.436,0.08,0.34,1.05
2.437,0.03,0.38,1.02
2.438,-0.03,0.41,1.00
2.439,-0.08,0.44,0.94
2.440,-0.12,0.47,0.92
2.441,-0.13,0.48,0.90
2.442,-0.13,0.48,0.86
2.526,-0.11,0.47,0.87
2.527,-0.09,0.45,0.88
2.528,-0.04,0.38,0.92
2.529,-0.00,0.34,0.94
2.530,0.03,0.34,0.97
2.530,0.01,0.37,0.97
2.531,0.01,0.39,0.98
2.532,-0.04,0.40,0.95
2.532,-0.13,0.53,1.10
2.533,-0.14,0.54,1.15
2.534,0.11,0.45,1.16
2.535,0.14,0.25,0.97
2.536,0.04,0.18,0.82
2.536,-0.01,0.24,0.72
2.537,-0.00,0.34,0.73
2.538,-0.03,0.45,0.82
2.538,-0.09,0.48,0.95
2.539,-0.09,0.46,1.05
2.540,-0.07,0.42,1.12
2.541,-0.06,0.40,1.12
2.545,-0.08,0.38,1.11
2.550,-0.09,0.37,1.08
2.555,-0.09,0.37,1.04
2.640,-0.09,0.36,0.97
2.640,-0.09,0.38,0.92
2.641,-0.06,0.40,0.90
2.641,-0.05,0.40,0.90
2.642,-0.03,0.40,0.92
2.642,-0.04,0.40,0.89
2.644,-0.05,0.38,0.80
2.644,-0.10,0.39,0.83
2.645,-0.13,0.41,0.92
2.645,-0.12,0.36,0.94
2.646,-0.10,0.34,0.97
2.647,-0.08,0.34,1.01
2.647,-0.10,0.36,1.06
2.648,-0.09,0.37,1.05
2.649,-0.09,0.36,1.04
2.649,-0.09,0.35,1.04
2.649,-0.08,0.34,1.03
2.650,-0.08,0.34,1.03
2.650,-0.08,0.34,1.02
2.705,-0.09,0.35,1.00
2.706,-0.10,0.34,0.97
2.707,-0.10,0.33,0.95
2.707,-0.11,0.35,0.92
2.711,-0.10,0.36,0.90
2.711,-0.11,0.37,0.93
2.711,-0.11,0.37,0.97
2.712,-0.11,0.37,0.98
2.712,-0.08,0.37,0.98
2.713,-0.07,0.38,1.01
2.713,-0.05,0.38,1.04
2.714,-0.04,0.39,1.06
2.714,-0.04,0.39,1.03
2.765,-0.03,0.40,1.02
2.766,-0.04,0.38,1.00
2.767,-0.04,0.38,0.97
2.768,-0.04,0.38,0.96
2.768,-0.04,0.37,0.96
2.769,-0.04,0.38,0.96
2.770,-0.04,0.37,0.95
2.770,-0.03,0.38,0.94
2.771,-0.02,0.37,0.96
2.772,-0.02,0.37,0.95
2.773,-0.04,0.36,0.93
2.773,-0.03,0.35,0.93
