time,x,y,z
2.001,0.18,1.01,0.21
2.002,0.21,1.00,0.20
2.002,0.23,0.99,0.17
2.003,0.25,0.99,0.14
2.003,0.26,1.00,0.13
2.004,0.26,1.00,0.12
2.005,0.27,1.00,0.11
2.006,0.29,1.00,0.10
2.011,0.30,0.98,0.08
2.015,0.32,0.98,0.05
2.020,0.33,0.99,0.03
2.026,0.32,0.99,0.01
2.030,0.31,1.00,0.01
2.035,0.31,1.01,0.02
2.048,0.31,1.00,0.06
2.049,0.30,1.00,0.07
2.049,0.31,1.00,0.06
2.105,0.31,0.99,0.07
2.106,0.32,0.99,0.11
2.106,0.34,0.99,0.11
2.107,0.34,1.00,0.10
2.107,0.34,1.00,0.07
2.108,0.33,0.99,0.07
2.109,0.31,0.98,0.07
2.110,0.30,0.98,0.08
2.110,0.30,0.98,0.08
2.111,0.29,0.99,0.08
2.112,0.28,0.97,0.09
2.112,0.26,0.97,0.13
2.114,0.26,0.96,0.13
2.119,0.27,0.95,0.12
2.126,0.29,0.95,0.12
2.129,0.31,0.96,0.13
2.134,0.32,0.97,0.10
2.142,0.33,0.97,0.10
2.144,0.36,0.97,0.08
2.149,0.38,0.97,0.09
2.153,0.40,0.97,0.08
2.196,0.42,0.96,0.08
2.197,0.43,0.97,0.08
2.197,0.43,0.96,0.09
2.198,0.43,0.96,0.10
2.198,0.44,0.95,0.10
2.199,0.42,0.95,0.10
2.199,0.41,0.94,0.12
2.200,0.38,0.93,0.12
2.200,0.37,0.93,0.10
2.204,0.35,0.92,0.12
2.208,0.34,0.91,0.12
2.215,0.36,0.91,0.13
2.218,0.38,0.91,0.12
2.226,0.39,0.91,0.10
2.228,0.41,0.91,0.08
2.233,0.43,0.90,0.06
2.272,0.43,0.90,0.06
2.273,0.44,0.90,0.04
2.273,0.45,0.91,0.04
2.274,0.45,0.91,0.03
2.274,0.45,0.91,0.04
2.275,0.46,0.92,0.06
2.275,0.46,0.92,0.06
2.276,0.45,0.92,0.06
2.277,0.45,0.92,0.06
2.282,0.43,0.92,0.05
2.292,0.39,0.93,0.02
2.293,0.40,0.94,-0.02
2.297,0.40,0.93,0.01
2.302,0.39,0.92,0.03
2.308,0.38,0.92,0.04
2.312,0.39,0.93,0.06
2.317,0.38,0.93,0.09
2.324,0.38,0.94,0.13
2.327,0.38,0.93,0.13
2.331,0.36,0.91,0.13
2.336,0.34,0.92,0.11
2.341,0.34,0.92,0.09
2.346,0.32,0.92,0.09
2.351,0.32,0.92,0.07
2.391,0.29,0.94,0.05
2.392,0.29,0.94,0.04
2.393,0.29,0.94,0.06
2.394,0.29,0.94,0.08
2.395,0.29,0.94,0.07
2.396,0.29,0.94,0.07
2.396,0.29,0.94,0.09
2.397,0.29,0.94,0.10
2.397,0.29,0.95,0.11
2.400,0.28,0.94,0.10
2.410,0.27,0.95,0.13
2.411,0.27,0.95,0.11
2.415,0.27,0.96,0.11
2.420,0.28,0.96,0.12
2.426,0.27,0.97,0.09
2.430,0.27,0.99,0.08
2.435,0.25,0.99,0.08
2.443,0.21,0.99,0.10
2.445,0.22,1.00,0.12
2.449,0.21,0.99,0.13
2.498,0.18,1.00,0.13
2.499,0.19,0.99,0.14
2.500,0.18,0.99,0.11
2.501,0.19,0.98,0.11
2.501,0.20,1.00,0.09
2.502,0.22,0.99,0.10
2.505,0.22,1.01,0.07
2.505,0.24,1.00,0.10
2.506,0.25,1.01,0.07
2.506,0.25,1.00,0.09
2.507,0.25,0.99,0.09
2.516,0.24,0.98,0.07
2.517,0.24,0.97,0.10
2.520,0.23,0.97,0.13
2.525,0.23,0.98,0.14
2.529,0.26,0.95,0.19
2.534,0.28,0.94,0.20
2.572,0.31,0.91,0.23
2.573,0.29,0.95,0.22
2.598,0.25,0.99,0.21
2.599,0.24,1.00,0.19
2.599,0.20,0.99,0.17
2.600,0.18,0.99,0.15
2.600,0.15,0.98,0.13
2.601,0.13,0.98,0.12
2.601,0.12,0.97,0.09
2.602,0.11,0.97,0.05
2.603,0.09,0.97,0.01
2.603,0.07,0.99,-0.03
2.604,0.08,0.98,0.00
2.604,0.09,0.97,-0.00
2.611,0.12,0.96,-0.02
2.613,0.11,0.97,-0.03
2.618,0.12,0.97,-0.04
2.626,0.09,0.97,-0.06
2.628,0.09,0.98,-0.05
2.633,0.08,0.97,-0.07
2.641,0.05,0.97,-0.08
2.642,0.04,0.97,-0.04
2.647,0.01,0.98,-0.02
2.652,-0.01,0.98,-0.01
2.694,-0.03,0.98,0.00
2.696,-0.03,0.98,0.02
2.697,-0.01,0.97,0.02
2.697,0.01,0.98,-0.00
2.698,0.05,0.98,0.00
2.699,0.07,0.98,0.00
2.699,0.10,0.98,0.02
2.699,0.11,0.98,0.04
2.700,0.13,0.98,0.04
2.702,0.13,0.99,0.05
2.709,0.14,0.99,0.07
2.712,0.14,0.99,0.09
2.717,0.14,0.99,0.10
2.725,0.15,1.00,0.11
2.726,0.15,0.99,0.13
2.731,0.14,0.99,0.11
2.741,0.14,1.00,0.08
2.742,0.14,1.00,0.07
2.746,0.14,1.01,0.06
2.751,0.13,1.02,0.04
2.792,0.13,1.02,0.04
2.793,0.14,1.02,0.04
2.794,0.14,1.01,0.05
2.794,0.14,1.02,0.06
2.795,0.12,1.02,0.05
2.795,0.12,1.01,0.06
2.796,0.12,1.01,0.04
2.796,0.10,1.02,0.04
2.797,0.10,1.01,0.04
2.801,0.10,1.00,0.04
2.810,0.11,1.00,-0.04
2.811,0.09,1.00,-0.05
2.816,0.06,1.01,-0.04
2.825,0.06,1.00,0.01
2.826,0.08,0.99,0.02
2.831,0.10,0.97,0.03
2.836,0.10,0.98,0.04
2.842,0.10,0.99,0.05
2.846,0.09,0.99,0.05
2.850,0.10,0.98,0.06
2.900,0.09,0.97,0.07
2.901,0.08,0.99,0.08
2.901,0.07,0.98,0.06
2.904,0.08,0.98,0.06
2.905,0.10,0.99,0.07
2.905,0.10,0.98,0.08
2.906,0.12,0.97,0.08
2.907,0.13,0.98,0.09
2.907,0.14,0.98,0.11
2.908,0.13,0.98,0.09
2.908,0.14,0.99,0.07
2.915,0.13,0.99,0.06
2.916,0.13,0.99,0.04
2.919,0.12,0.98,-0.00
2.925,0.10,0.97,-0.03
2.929,0.09,0.98,-0.03
2.934,0.09,0.98,-0.04
2.941,0.07,0.98,-0.03
2.944,0.09,0.98,-0.04
2.949,0.08,0.98,-0.02
2.990,0.08,0.98,0.00
2.991,0.08,0.98,0.01
2.991,0.09,0.98,0.00
2.992,0.08,0.98,-0.00
2.992,0.09,0.98,-0.01
2.993,0.09,0.97,0.00
2.993,0.09,1.00,-0.01
2.994,0.10,1.00,-0.01
2.994,0.11,1.00,-0.01
2.999,0.10,0.99,0.00
3.007,0.10,1.01,0.04
3.008,0.10,1.00,0.05
3.014,0.11,1.00,0.05
3.024,0.12,1.00,0.06
3.024,0.12,1.00,0.07
3.029,0.13,1.00,0.09
3.034,0.14,1.00,0.08
3.040,0.13,1.00,0.08
3.068,0.14,1.01,0.07
3.069,0.15,0.99,0.07
3.069,0.16,0.99,0.06
3.070,0.17,1.00,0.05
3.070,0.17,0.99,0.06
3.071,0.16,1.00,0.04
3.114,0.16,0.99,0.05
3.115,0.15,1.00,0.04
3.115,0.13,0.99,0.04
3.116,0.12,0.99,0.04
3.116,0.11,0.98,0.05
3.117,0.09,0.98,0.05
3.117,0.09,0.97,0.06
3.118,0.09,0.98,0.05
3.119,0.09,0.97,0.06
3.119,0.09,0.98,0.06
3.124,0.10,0.98,0.05
3.127,0.11,0.99,0.05
3.132,0.11,0.97,0.04
3.140,0.12,0.98,0.04
3.142,0.13,0.99,0.04
3.146,0.13,0.98,0.02
3.151,0.14,0.98,0.02
3.187,0.13,0.99,0.03
3.188,0.13,0.99,0.02
3.189,0.14,0.99,0.02
3.189,0.14,0.99,0.01
3.190,0.15,0.98,0.01
3.190,0.13,0.99,0.01
3.191,0.12,0.99,0.01
3.191,0.10,0.98,0.03
3.196,0.09,0.98,0.05
3.201,0.10,0.98,0.06
3.206,0.11,0.96,0.04
3.211,0.12,0.97,0.03
3.216,0.13,0.96,0.04
3.224,0.14,0.96,0.03
3.226,0.14,0.97,0.04
3.230,0.13,0.97,0.02
3.235,0.13,0.96,0.01
3.242,0.11,0.97,0.02
3.245,0.11,0.97,0.04
3.250,0.11,0.96,0.06
3.289,0.10,0.96,0.06
3.290,0.10,0.95,0.06
3.290,0.10,0.96,0.06
3.291,0.10,0.96,0.06
3.291,0.09,0.96,0.08
3.292,0.10,0.96,0.04
3.292,0.10,0.97,0.05
3.293,0.10,0.96,0.02
3.296,0.10,0.97,0.03
3.300,0.10,0.96,0.02
3.307,0.09,0.97,0.01
3.310,0.09,0.97,0.00
3.315,0.10,0.96,0.02
3.323,0.08,0.97,0.01
3.324,0.09,0.97,0.03
3.329,0.07,0.97,-0.01
3.334,0.06,0.97,0.02
3.340,0.07,0.97,0.02
3.344,0.08,0.98,-0.01
3.349,0.08,0.98,-0.01
3.394,0.08,0.98,-0.00
3.395,0.09,0.98,-0.03
3.395,0.11,0.98,-0.01
3.396,0.10,0.99,0.00
3.396,0.11,0.98,0.01
3.397,0.10,0.98,0.01
3.397,0.10,0.98,0.04
3.398,0.09,0.98,0.02
3.398,0.10,0.99,0.03
3.400,0.10,0.98,0.03
3.406,0.09,0.98,0.04
3.408,0.10,0.99,0.02
3.414,0.09,0.99,0.00
3.418,0.09,0.98,-0.00
3.423,0.10,1.00,-0.01
3.428,0.09,1.00,0.00
3.433,0.10,0.99,-0.02
3.439,0.10,0.99,-0.02
3.443,0.09,0.99,-0.00
3.449,0.10,0.99,0.01
3.502,0.09,1.00,0.03
3.503,0.09,1.00,0.02
3.503,0.10,0.99,0.04
3.504,0.10,1.00,0.06
3.504,0.11,1.00,0.05
3.505,0.10,0.99,0.06
3.505,0.10,1.00,0.05
3.506,0.10,1.00,0.04
3.507,0.09,1.00,0.06
3.507,0.08,0.99,0.04
3.508,0.09,1.00,0.04
3.508,0.08,0.98,0.05
3.513,0.08,0.99,0.05
3.517,0.09,0.99,0.05
3.524,0.09,0.99,0.04
3.527,0.12,1.00,0.06
3.532,0.11,0.99,0.04
3.542,0.11,0.99,0.05
3.543,0.10,0.99,0.05
3.547,0.11,0.99,0.05
3.552,0.10,0.99,0.04
3.591,0.10,0.99,0.03
3.592,0.10,0.98,0.05
3.592,0.10,0.99,0.03
3.593,0.09,0.98,0.04
3.593,0.09,0.99,0.04
3.594,0.09,0.99,0.02
3.594,0.10,0.98,0.04
3.594,0.09,0.99,0.02
3.597,0.10,0.99,0.01
3.601,0.09,0.99,0.00
3.607,0.11,0.99,0.01
3.611,0.12,0.98,0.03
3.616,0.12,0.97,0.02
3.623,0.13,0.98,0.03
3.626,0.13,0.98,0.03
3.631,0.14,0.97,0.05
3.640,0.15,0.97,0.05
3.641,0.13,0.97,0.06
3.646,0.11,0.98,0.09
3.651,0.10,0.98,0.08
3.687,0.10,0.99,0.05
3.688,0.09,0.99,0.04
3.688,0.08,0.97,-0.01
3.689,0.08,0.97,-0.00
3.689,0.08,0.96,-0.01
3.690,0.07,0.97,-0.03
3.690,0.07,0.98,-0.02
3.691,0.06,0.98,-0.03
3.695,0.06,0.97,-0.03
3.700,0.07,0.98,-0.02
3.706,0.07,0.96,-0.02
3.710,0.08,0.98,0.00
3.715,0.08,0.97,-0.01
3.723,0.09,0.98,0.01
3.725,0.08,0.97,0.03
3.730,0.09,0.96,0.03
