time,x,y,z
1.851,-0.03,-0.16,1.07
1.852,-0.04,-0.18,1.07
1.852,-0.06,-0.20,1.07
1.853,-0.07,-0.22,1.07
1.854,-0.09,-0.24,1.07
1.854,-0.10,-0.25,1.05
1.855,-0.12,-0.26,1.05
1.855,-0.14,-0.27,1.04
1.856,-0.15,-0.28,1.03
1.857,-0.16,-0.29,1.02
1.858,-0.17,-0.29,1.01
1.866,-0.16,-0.30,1.00
1.867,-0.14,-0.32,1.00
1.872,-0.13,-0.34,0.99
1.931,-0.11,-0.35,0.99
1.932,-0.09,-0.36,0.99
1.933,-0.08,-0.37,1.00
1.934,-0.08,-0.37,1.01
1.935,-0.08,-0.37,1.03
1.936,-0.07,-0.37,1.05
1.937,-0.07,-0.38,1.07
1.938,-0.07,-0.38,1.09
1.938,-0.07,-0.38,1.12
1.939,-0.07,-0.37,1.14
1.939,-0.09,-0.37,1.15
1.940,-0.12,-0.36,1.16
1.941,-0.16,-0.37,1.17
1.941,-0.19,-0.38,1.15
1.949,-0.22,-0.40,1.11
1.950,-0.23,-0.42,1.06
1.956,-0.25,-0.45,1.00
2.000,-0.25,-0.47,0.95
2.001,-0.23,-0.48,0.90
2.002,-0.18,-0.48,0.87
2.003,-0.13,-0.48,0.86
2.004,-0.08,-0.47,0.86
2.005,-0.05,-0.46,0.88
2.005,-0.02,-0.44,0.92
2.006,0.01,-0.43,0.98
2.007,0.04,-0.42,1.03
2.008,0.06,-0.41,1.08
2.015,0.06,-0.40,1.13
2.016,0.04,-0.40,1.16
2.021,0.01,-0.39,1.17
2.082,-0.02,-0.39,1.17
2.083,-0.06,-0.39,1.16
2.085,-0.12,-0.39,1.14
2.087,-0.18,-0.39,1.10
2.088,-0.24,-0.38,1.05
2.088,-0.28,-0.38,1.00
2.089,-0.28,-0.37,0.96
2.090,-0.28,-0.36,0.93
2.092,-0.26,-0.34,0.90
2.093,-0.21,-0.30,0.88
2.094,-0.16,-0.24,0.89
2.095,-0.12,-0.18,0.89
2.095,-0.10,-0.12,0.90
2.097,-0.08,-0.05,0.92
2.098,-0.07,0.02,0.95
2.106,-0.06,0.10,0.97
2.108,-0.05,0.17,1.00
2.109,-0.04,0.23,1.01
2.119,-0.03,0.28,1.01
2.120,-0.03,0.33,1.01
2.175,-0.04,0.38,0.99
2.176,-0.04,0.43,0.98
2.177,-0.04,0.49,0.96
2.178,-0.04,0.55,0.95
2.179,-0.04,0.63,0.94
2.180,-0.03,0.70,0.96
2.180,0.01,0.78,0.98
2.181,0.07,0.85,1.01
2.182,0.15,0.91,1.05
2.183,0.23,0.96,1.09
2.184,0.31,0.99,1.12
2.184,0.37,1.00,1.13
2.185,0.43,1.01,1.15
2.189,0.45,1.01,1.16
2.198,0.46,0.99,1.16
2.199,0.44,0.98,1.17
2.204,0.40,0.95,1.18
2.222,0.35,0.92,1.19
2.223,0.29,0.87,1.20
2.223,0.23,0.82,1.21
2.225,0.17,0.76,1.22
2.283,0.13,0.71,1.22
2.283,0.09,0.66,1.22
2.327,0.05,0.62,1.21
2.328,0.01,0.57,1.20
2.329,-0.02,0.53,1.18
2.329,-0.03,0.49,1.15
2.330,-0.04,0.45,1.13
2.331,-0.02,0.42,1.10
2.332,-0.00,0.39,1.08
2.332,0.03,0.36,1.06
2.333,0.05,0.33,1.05
2.334,0.07,0.30,1.04
2.334,0.07,0.28,1.04
2.335,0.07,0.26,1.04
2.340,0.05,0.24,1.04
2.341,0.03,0.23,1.04
